Date,Opening,Highest,Lowest,Closing,Wolumen
2011-07-24,6.62051,6.81723,6.36761,6.6486,2337373.1653364
2011-07-31,6.6486,6.73286,6.18973,6.36761,2121795.8924705
2011-08-07,6.51748,6.51748,3.75511,4.35431,15996920.661038
2011-08-14,4.35431,5.30954,4.1297,5.05664,21288030.422052
2011-08-21,5.15024,5.15024,4.09219,4.44801,5850189.0804529
2011-08-28,4.49486,5.03789,4.43859,4.85069,5465283.5557028
2011-09-04,4.90687,5.03789,4.29814,4.56037,5114380.3217677
2011-09-11,4.33556,4.46677,4.11094,4.11094,2354616.1297008
2011-09-18,3.83928,3.93298,3.38986,3.82052,4492717.2380752
2011-09-25,3.60524,3.73626,2.9966,3.27749,3451017.1715619
2011-10-02,3.10887,3.52087,3.09953,3.35244,3637496.751153
2011-10-09,3.24941,3.6239,3.06211,3.61467,2929014.0436998
2011-10-16,3.6239,4.07342,3.6239,3.83005,4314595.9398226
2011-10-23,3.89546,4.18578,3.67075,4.1577,2740734.3128835
2011-10-30,4.37308,5.48751,4.36374,5.3563,13150756.337465
2011-11-06,5.29069,5.55292,4.62588,5.22518,9501604.4216776
2011-11-13,5.24403,5.50617,4.79451,5.15024,4482649.4239839
2011-11-20,5.44056,5.55292,5.11282,5.17843,4464822.0213825
2011-11-27,5.14092,5.14092,4.33556,4.8226,4202136.3793258
2011-12-04,4.97238,5.15024,4.72901,4.757,3897190.9654388
2011-12-11,4.88811,4.88811,4.48543,4.68215,1512738.9582788
2011-12-18,4.71034,4.71958,4.54162,4.57913,984067.73631444
2011-12-25,4.57913,5.06607,4.50419,4.80384,4048509.5595917
2012-01-01,4.81317,4.95362,4.61655,4.93496,2341852.1615123
2012-01-08,4.90687,5.03789,4.71958,4.80384,1216378.8810036
2012-01-15,4.78518,4.99103,4.71034,4.80384,1616899.2921719
2012-01-22,4.71034,4.95362,4.71034,4.90687,1757634.8705822
2012-01-29,4.89754,6.07748,4.87878,5.7028,10094083.266363
2012-02-05,5.68413,5.97435,5.47808,5.81515,4502846.1432714
2012-02-12,5.81515,6.03996,5.25327,5.53426,5056805.0099334
2012-02-19,5.56244,5.69336,5.1691,5.56244,4485486.0876225
2012-02-26,5.65594,5.66537,5.44999,5.53426,1303879.6705843
2012-03-04,5.55292,5.57168,5.21585,5.34706,1009716.8367162
2012-03-11,5.32831,5.7683,5.0099,5.7028,2756825.7099202
2012-03-18,5.73088,6.3022,5.48751,6.16175,4375076.1336959
2012-03-25,6.26477,6.26477,5.59033,5.94636,3481053.6314821
2012-04-01,6.03053,6.51748,5.93693,6.48006,3847926.0802441
2012-04-08,6.53623,6.555,5.72155,6.1149,3373088.3399375
2012-04-15,6.13356,6.21783,5.61852,5.94636,2121707.3103684
2012-04-22,5.8621,6.15232,5.38448,5.53426,4017568.9513187
2012-04-29,5.43123,5.43123,4.60721,5.03789,6332454.480933
2012-05-06,5.13158,5.30954,4.73823,4.73823,1393999.232196
2012-05-13,4.54162,4.98181,4.46677,4.80384,2374599.030121
2012-05-20,4.78518,4.78518,4.10151,4.49486,3020931.7201664
2012-05-27,4.51352,4.59789,3.96107,4.21387,2053054.1448415
2012-06-03,4.30757,4.38251,4.16712,4.34509,960779.80711794
2012-06-10,4.27948,4.44801,4.14836,4.40116,880900.13287639
2012-06-17,4.49486,4.54162,4.17635,4.35431,3545827.5118465
