Date,Opening,Highest,Lowest,Closing
16/06/2013,1385.58,1394.74,1365.97,1390.32
23/06/2013,1389.46,1391.87,1269.38,1294.01
30/06/2013,1300.65,1301.46,1180.16,1232.63
07/07/2013,1243.09,1267.17,1208.27,1222.95
14/07/2013,1222.87,1298.46,1215.66,1284.14
21/07/2013,1291.09,1300.41,1270.33,1294.59
28/07/2013,1311.69,1346.64,1308.92,1332.81
04/08/2013,1332.32,1338.72,1283.31,1307.67
11/08/2013,1312.13,1320.67,1272.95,1312.92
18/08/2013,1329.76,1379.42,1315.9,1372.75
25/08/2013,1377.33,1399.93,1352.33,1396.26
01/09/2013,1401.76,1433.6,1389.31,1393.98
08/09/2013,1381.53,1416.06,1359.21,1389.16
15/09/2013,1388.01,1391.86,1304.75,1323.42
22/09/2013,1326.71,1375.2,1291.83,1326.2
29/09/2013,1329.39,1343.88,1305.65,1336.05
06/10/2013,1342.85,1343.1,1277.26,1310.56
13/10/2013,1314.72,1329.56,1261.7,1270.16
20/10/2013,1273.05,1326.85,1251.81,1314.59
27/10/2013,1318.1,1355.59,1310,1351.47
03/11/2013,1349.02,1361.65,1306,1315.81
10/11/2013,1313.92,1326.25,1281.18,1287.77
17/11/2013,1285.98,1294.07,1261.45,1288.06
24/11/2013,1287.75,1288.25,1236.81,1243.17
01/12/2013,1241.16,1255.03,1226.67,1253.78
08/12/2013,1247.97,1251.29,1211.63,1228.67
15/12/2013,1228.15,1267.64,1220.49,1237.5
22/12/2013,1235.72,1251.91,1187.18,1202.09
29/12/2013,1203.62,1219.1,1192.67,1214.05
05/01/2014,1213.2,1240.18,1182.1,1237.11
12/01/2014,1233.99,1248.67,1213.11,1247
19/01/2014,1248.35,1255.06,1234.33,1253.87
26/01/2014,1257.6,1272.57,1231.38,1268.39
02/02/2014,1274.61,1275,1238.09,1244.75
09/02/2014,1243.9,1274.12,1240.82,1266.94
16/02/2014,1265.72,1321.02,1265.07,1318.57
23/02/2014,1322.41,1329.83,1307.37,1323.58
02/03/2014,1324.6,1345.24,1318.82,1323.58
09/03/2014,1341.9,1354.53,1328.43,1338.98
16/03/2014,1336.41,1387.72,1327.81,1381.2
23/03/2014,1388.08,1388.34,1320.29,1332.92
30/03/2014,1331.76,1334.1,1285.75,1292.76
06/04/2014,1295.05,1306.49,1277.69,1303.18
13/04/2014,1301.95,1324.73,1295.45,1317.7
20/04/2014,1326.97,1331.01,1284.93,1295.11
27/04/2014,1292.04,1304.83,1268.55,1302.15
04/05/2014,1303.83,1306.38,1274.9,1298.24
11/05/2014,1300.27,1315.57,1285.04,1288.59
18/05/2014,1282.94,1308.81,1281.97,1292.97
25/05/2014,1291.11,1305.16,1283.37,1292.62
01/06/2014,1291.58,1294.06,1242.25,1250.55
08/06/2014,1248.06,1257.57,1240.7,1252.61
15/06/2014,1253.06,1277.88,1251.21,1276.62
22/06/2014,1278.19,1321.35,1258.67,1313.97
29/06/2014,1313.21,1325.85,1306.27,1315.78
06/07/2014,1315.45,1333.09,1309.7,1320.16
13/07/2014,1318.18,1344.83,1311.6,1337.48
20/07/2014,1338.57,1339,1292.21,1310.42
27/07/2014,1311.77,1318.28,1287.46,1307.01
03/08/2014,1306.79,1311.98,1280.47,1292.72
10/08/2014,1293.41,1322.44,1282.52,1311.48
17/08/2014,1310.9,1319.22,1292.38,1304.03
24/08/2014,1302.45,1303.47,1272.9,1280.37
31/08/2014,1279.15,1296.3,1274.28,1287.12
07/09/2014,1286.41,1289.9,1257.62,1268.49
14/09/2014,1267.81,1271.8,1227.58,1230.42
21/09/2014,1227.94,1241.77,1213.81,1217.64
28/09/2014,1216.02,1234.92,1206.86,1217.46
05/10/2014,1216.96,1223.2,1190.03,1191.74
12/10/2014,1188.25,1233.33,1182.87,1223.1
19/10/2014,1230.63,1249.7,1221.7,1237.64
26/10/2014,1236.07,1255.02,1226.35,1230.93
02/11/2014,1228.83,1235.45,1161.18,1171.85
09/11/2014,1166.33,1177.05,1131.78,1174.92
16/11/2014,1169.21,1193.31,1146.11,1190.73
23/11/2014,1184.69,1207.71,1175.45,1200.86
30/11/2014,1201.68,1203.41,1165.04,1168.85
07/12/2014,1150.35,1220.62,1146.55,1191.45
14/12/2014,1188.78,1237.98,1188.39,1221.48
21/12/2014,1223.82,1223.89,1183.58,1194.7
28/12/2014,1195.03,1201.47,1170.57,1195.31
04/01/2015,1193.5,1209.25,1167.69,1187.4
11/01/2015,1186.14,1222.12,1186.14,1220.73
18/01/2015,1224.12,1281.76,1218.62,1275.25
25/01/2015,1278.64,1306.43,1272.08,1293.82
01/02/2015,1295.35,1298.89,1251.91,1283.8
08/02/2015,1280.54,1285.06,1228.3,1235.26
15/02/2015,1235.61,1245.63,1216.5,1228.44
22/02/2015,1230.78,1236.1,1197.38,1201.11
01/03/2015,1201.79,1219.67,1190.43,1211.57
08/03/2015,1215.52,1223,1163.52,1165.53
15/03/2015,1170.72,1175.05,1147.33,1157.34
22/03/2015,1155.45,1188.08,1142.73,1182.55
29/03/2015,1185.99,1219.68,1179.61,1198.78
05/04/2015,1197.81,1208.78,1178.75,1202.86
12/04/2015,1218.09,1224.45,1193.1,1208.56
19/04/2015,1207.97,1209.75,1184.31,1204.81
26/04/2015,1205.6,1209.36,1175.51,1178.99
03/05/2015,1179.99,1215.28,1170.18,1177.85
10/05/2015,1178.52,1199.99,1178.18,1188.37
17/05/2015,1189.91,1227.37,1179.21,1225.13
24/05/2015,1224.25,1232.54,1201.91,1205.67
31/05/2015,1204.61,1208.93,1181.13,1190.22
07/06/2015,1192.49,1204.49,1163.05,1171.2
14/06/2015,1170.63,1192.56,1169.95,1181.35
21/06/2015,1184.95,1205.79,1173.07,1201.19
28/06/2015,1198.68,1200.26,1169.27,1174.78
05/07/2015,1184.16,1187.78,1157.43,1168.83
12/07/2015,1173.45,1174.62,1147.5,1162.78
19/07/2015,1163.01,1164.5,1131.43,1134.11
26/07/2015,1132.49,1133.24,1077.64,1098.97
02/08/2015,1096.53,1105.27,1080.28,1095.23
09/08/2015,1095.22,1099.76,1081.32,1092.48
16/08/2015,1092.51,1126.81,1090.03,1115.41
23/08/2015,1114.84,1168.54,1110.02,1159.56
30/08/2015,1162.19,1170.18,1118.03,1134.33
